"REF_NO","children","age_band","status","occupation","occupation_partner","home_status","family_income","self_employed","self_employed_partner","year_last_moved","TVarea","post_code","post_area","Average.Credit.Card.Transaction","Balance.Transfer","Term.Deposit","Life.Insurance","Medical.Insurance","Average.A.C.Balance","Personal.Loan","Investment.in.Mutual.Fund","Investment.Tax.Saving.Bond","Home.Loan","Online.Purchase.Amount","Revenue.Grid","gender","region","Investment.in.Commudity","Investment.in.Equity","Investment.in.Derivative","Portfolio.Balance"
421,"1","61-65","Partner","Retired","Retired","Own Home","< 8,000, >= 4,000","No","No",1979,"Tyne Tees","SR8 3DB","SR8",19.98,0,0,11.49,29.99,29.48,53.96,45.97,0,3.99,0,2,"Female","North",12.29,22.23,28.48,67.72
9070,"Zero","45-50","Partner","Housewife","Unknown","Rent Privately","<10,000, >= 8,000","No","Yes",1964,"Central","ST14 5BX","ST14",0,39.99,0,39.99,0,5.99,0,13.99,0,0,0,2,"Female","West Midlands",16,3.33,10,61.69
9989,"2","41-45","Partner","Professional","Secretarial/Admin","Own Home","<22,500, >=20,000","No","No",1984,"Yorkshire","WF14 9LA","WF14",0,0,0,0,0,0,0,0,0,0,0,2,"Male","Unknown",0,0,0,-24.45
9788,"2","36-40","Partner","Business Manager","Housewife","Own Home",">=35,000","No","No",1993,"Yorkshire","BD12 7HG","BD12",0,29.98,0,0,0,88.96,10.99,35.98,0,6.49,15.98,2,"Male","Unknown",6,26.4,22.66,34.02
11130,"2","31-35","Partner","Business Manager","Business Manager","Own Home","<30,000, >=27,500","No","No",1996,"Carlton","TW11 9NR","TW11",52.77,24.99,11.99,43.47,3.99,25.94,0,19.48,10.48,0,0,2,"Female","South East",27.44,9.32,17.23,48.28
10123,"2","41-45","Partner","Housewife","Business Manager","Own Home","<25,000, >=22,500","No","No",1980,"Carlton","SW20 8SW","SW20",24.49,0.01,15,169.88,0,10.47,28.99,0,3.98,14.48,24.99,2,"Female","South East",41.88,13.82,35.55,36.75
9736,"Zero","36-40","Partner","Business Manager","Professional","Own Home",">=35,000","Yes","Yes",1990,"Tyne Tees","NE65 8JS","NE65",0,25,0,312.38,21.98,9.49,0,0,9.49,0,0,1,"Female","North",71.87,3.16,58.89,129.71
8217,"Zero","65-70","Partner","Retired","Retired","Own Home",">=35,000","No","No",1973,"Carlton","M13 1LX","M13",0,9.99,0,42.98,0,136.36,24.49,61.45,4.98,0,0,2,"Female","North West",10.59,37.88,45.04,87.67
9512,"Zero","71+","Partner","Retired","Retired","Rent from Council/HA","< 8,000, >= 4,000","No","No",1978,"Central","B46 1PG","B46",0,0,0,0.51,0,6,3.01,21.98,24.49,0,0,2,"Female","West Midlands",0.1,9.25,9.33,-34.16
2161,"Zero","26-30","Partner","Professional","Professional","Own Home",">=35,000","No","No",1998,"Carlton","SM4 4DJ","SM4",0,158.45,0,74.91,6.99,58.86,0,0,0,0,0,2,"Female","South East",48.07,9.81,23.46,39.41
8091,"1","45-50","Partner","Professional","Professional","Own Home",">=35,000","No","No",1982,"Yorkshire","LN3 4AB","LN3",0,59.97,0,0,14.97,0,0,44.93,0,0,0,2,"Female","East Midlands",14.99,7.49,9.98,35.49
2980,"1","36-40","Partner","Professional","Professional","Own Home","<27,500, >=25,000","No","No",1990,"Yorkshire","BD13 4LB","BD13",0,39.98,0,0,0,15,0,0,0,0,0,2,"Female","Unknown",8,2.5,2.5,-20.72
5625,"1","41-45","Partner","Manual Worker","Unknown","Rent from Council/HA","<10,000, >= 8,000","No","No",1975,"Border","CA14 5AH","CA14",0,0,24.98,0,8.48,22.95,8.99,0,8.98,7.98,0,2,"Female","North",6.69,8.15,8.23,-3.7
8773,"Zero","45-50","Partner","Professional","Housewife","Own Home",">=35,000","No","No",1971,"Granada","M22 5JN","M22",0,104.49,0,49.98,47.94,0,31.97,19.49,0,0,0,2,"Male","North West",40.48,8.58,24.9,59.24
9927,"Zero","41-45","Divorced/Separated","Unknown","Unknown","Own Home","<12,500, >=10,000","No","No",1958,"Carlton","CM16 5AT","CM16",0,50.98,0,41.48,0,54.98,0,8.98,0,0,0,2,"Female","South East",18.49,10.66,17.57,-4.66
6919,"Zero","26-30","Partner","Manual Worker","Professional","Own Home","<27,500, >=25,000","No","No",1988,"Anglia","CO10 9HJ","CO10",0,0,22.99,0,0,0,29.46,0,0,3.98,0,2,"Female","East Anglia",4.6,5.57,4.91,13.11
3907,"2","45-50","Partner","Professional","Professional","Own Home",">=35,000","No","No",1978,"Carlton","CM16 6QG","CM16",0,197.93,11.99,130.94,0,58.9,21.49,70.91,1.49,0,0,2,"Female","South East",68.17,25.47,47.29,99.3
2481,"Zero","45-50","Partner","Housewife","Professional","Own Home",">=35,000","Yes","Yes",1982,"Central","DE13 8BY","DE13",0,24.99,0,22.99,0,0,0,0,0,0,0,2,"Female","West Midlands",9.6,0,3.83,1.56
10175,"1","45-50","Partner","Professional","Professional","Own Home",">=35,000","No","No",1976,"Anglia","MK43 8LH","MK43",0,0,14.49,13.99,3.99,7.99,28.96,0,0.5,0,0,2,"Male","South East",6.49,6.24,9.24,-9.23
2026,"Zero","65-70","Partner","Housewife","Professional","Own Home",">=35,000","No","No",1973,"HTV","SN15 3LL","SN15",84.99,94,34.99,0,0,14.49,0,0,0,0,0,2,"Female","South West",42.8,2.42,2.42,51.56
5245,"Zero","61-65","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1965,"Central","OX10 0PQ","OX10",0,0,0,0,0,0,0,0,19.49,0,0,2,"Female","South East",0,3.25,3.25,-7.81
5666,"Zero","55-60","Widowed","Other","Unknown","Own Home","< 4,000","No","No",1962,"Anglia","NR33 7BY","NR33",0,0,0,35.47,0,0,0,65.94,0,0,0,2,"Female","East Anglia",7.09,10.99,16.9,73.82
6340,"Zero","36-40","Single/Never Married","Manual Worker","Business Manager","Own Home",">=35,000","No","No",1990,"Carlton","L20 3JY","L20",27.99,24.99,0,84.47,0,13.95,0,48.96,0,9.47,61.97,1,"Male","North West",27.49,22.39,24.56,122.13
11516,"Zero","51-55","Partner","Other","Manual Worker","Own Home","<10,000, >= 8,000","No","Yes",1970,"Carlton","CM15 0LU","CM15",0,35.98,0,0,0,0,0,9.98,0,7.98,0,2,"Female","South East",7.2,2.99,1.66,4.79
6185,"Zero","55-60","Partner","Housewife","Retired","Own Home","< 8,000, >= 4,000","No","No",1978,"Granada","L35 5EJ","L35",0,0,149.97,29.99,72.43,0,0,0,0,0,0,2,"Female","North West",50.48,0,17.07,69.17
8989,"1","31-35","Divorced/Separated","Professional","Housewife","Own Home",">=35,000","Yes","No",1997,"Anglia","NN8 5QS","NN8",39.98,316.37,0,341.85,9.99,66.44,133.36,21.46,0,0,7.99,2,"Male","East Midlands",141.64,38.21,95.52,247.98
8276,"2","36-40","Divorced/Separated","Business Manager","Other","Own Home","<27,500, >=25,000","No","No",1986,"Central","CV32 6LA","CV32",0,194.93,29.99,68.96,0,12.98,0,164.34,29.48,0.99,12.98,2,"Male","West Midlands",58.78,36.8,45.96,141.83
5578,"Zero","26-30","Single/Never Married","Manual Worker","Secretarial/Admin","Own Home",">=35,000","No","No",1994,"Carlton","M12 4AQ","M12",0,54.49,0,78.97,0,0,4.99,39.97,0,0,90.04,1,"Male","North West",26.69,22.5,20.66,97.39
9061,"2","36-40","Partner","Housewife","Unknown","Own Home","<27,500, >=25,000","No","Yes",1983,"Granada","BB1 9NH","BB1",0,83.47,0,50.49,0,93.45,0,9.99,0,0,0,2,"Female","North West",26.79,17.24,25.66,67.15
9104,"Zero","65-70","Widowed","Retired","Unknown","Own Home","< 4,000","No","No",1984,"Central","B90 2BL","B90",0,49.47,92.95,0,7.49,2.99,23.48,0,0,0,0,2,"Female","West Midlands",29.98,4.41,5.66,70.89
4655,"Zero","65-70","Widowed","Retired","Unknown","Rent from Council/HA","<12,500, >=10,000","No","No",1986,"Scottish TV","ML2 0LH","ML2",0,44.98,0,60.46,19.48,53.97,0,11.49,0,8.46,0,2,"Female","Scotland",24.98,12.32,24.23,72.16
10869,"2","31-35","Partner","Professional","Manual Worker","Own Home",">=35,000","No","No",1997,"Central","LE12 9TG","LE12",0,0,0,0,0,0,30.98,0,24.47,0,0,2,"Female","East Midlands",0,9.24,9.24,-19.37
2467,"Zero","18-21","Single/Never Married","Student","Unknown","Live in Parental Hom","<30,000, >=27,500","No","No",1993,"HTV","NP4 0DE","NP4",74.95,27.35,62.4,175.29,66.45,68.4,96.63,115.41,66.47,0,134,1,"Female","Wales",81.29,80.15,98.11,267.73
6235,"Zero","55-60","Partner","Housewife","Manual Worker","Own Home","<20,000, >=17,500","No","No",1959,"Central","DE24 9FX","DE24",0,0,0,0,0,0,0,0,0,0,0,2,"Female","East Midlands",0,0,0,-15.83
6730,"Zero","51-55","Partner","Professional","Professional","Own Home",">=35,000","Yes","No",1987,"Anglia","IP11 0XY","IP11",0,242.45,19.97,306.28,15.99,145.91,0,96.4,2,12.23,70.96,1,"Unknown","East Anglia",116.94,54.58,94.43,300.48
9078,"Zero","65-70","Partner","Retired","Retired","Own Home","<15,000, >=12,500","No","No",1979,"Yorkshire","WF4 4QZ","WF4",61.46,200.35,171.43,218.78,76.42,151.88,0,269.7,56.91,30.52,6.98,2,"Male","Unknown",145.69,86,128.95,366.01
7385,"Zero","55-60","Partner","Retired","Retired","Own Home","< 8,000, >= 4,000","No","No",1980,"Anglia","CO15 2BB","CO15",27.46,75.97,0,55.47,0,0,0,0,0,21.96,0,2,"Female","South East",31.78,3.66,9.25,50.34
8189,"2","45-50","Partner","Professional","Secretarial/Admin","Own Home","<27,500, >=25,000","No","No",1978,"Carlton","RH11 9DF","RH11",46.95,60.46,29.97,39.47,41.75,5.97,16.48,11.99,0,0,0,2,"Male","South East",43.72,5.74,19.28,58.27
11307,"Zero","65-70","Partner","Housewife","Retired","Own Home","<15,000, >=12,500","No","No",1988,"Scottish TV","KA21 6DP","KA21",0,0,0,18.48,0,13.97,0,11.99,0,19.53,6.99,2,"Female","Scotland",3.7,8.75,7.41,4.96
770,"Zero","45-50","Partner","Other","Professional","Own Home","<25,000, >=22,500","Yes","Yes",1973,"Central","B65 8BA","B65",0,51.98,0,151.43,0,76.05,0,58.95,0,21.47,19.98,2,"Female","West Midlands",40.68,29.41,47.74,77.02
6240,"Zero","51-55","Partner","Housewife","Unknown","Own Home","<15,000, >=12,500","No","No",1998,"HTV","CF47 8TW","CF47",10.49,24.48,11.99,80.45,9.49,93.95,11.49,5.49,4,0,0,2,"Female","Wales",27.38,19.16,34.15,94.51
10003,"Zero","36-40","Partner","Professional","Manual Worker","Own Home","<10,000, >= 8,000","No","No",1992,"Carlton","M17 8RB","M17",0,99.97,0,15.99,0,28.99,0,0,0,0,0,2,"Female","North West",23.19,4.83,7.5,23.47
6690,"1","36-40","Partner","Housewife","Professional","Own Home",">=35,000","Yes","No",1996,"HTV","TA3 7HB","TA3",0,89.97,0,85.96,29.99,10.98,79.43,61.45,0,0,0,2,"Female","South West",41.18,25.31,44.64,178.23
3597,"2","36-40","Partner","Manual Worker","Manual Worker","Own Home","<20,000, >=17,500","No","No",1996,"HTV","SA33 4JW","SA33",0,32.98,0,30.47,0,16.96,0,49.97,0,0,0,2,"Female","Wales",12.69,11.16,16.23,74.98
7662,"Zero","55-60","Partner","Professional","Housewife","Own Home",">=35,000","Yes","No",1967,"Carlton","SS1 3RS","SS1",320.34,110.4,79.45,182.29,99.84,118.34,67.93,61.42,58.41,16.45,251.28,1,"Male","South East",158.46,95.64,98.04,415.62
1556,"2","41-45","Partner","Professional","Professional","Own Home","<27,500, >=25,000","No","Yes",1992,"Grampian","AB41 7JE","AB41",0,0,0.02,0,11.99,0,0,0,0,0,0,2,"Female","Scotland",2.4,0,2,45.63
9754,"Zero","51-55","Partner","Retired","Retired","Rent from Council/HA","< 8,000, >= 4,000","No","No",1998,"Tyne Tees","SR6 0EF","SR6",0,45.97,19.99,108.91,0,29.99,0,11.99,49.99,0,0,1,"Female","North",34.97,15.33,33.48,108.05
8878,"Zero","26-30","Single/Never Married","Professional","Unknown","Live in Parental Hom","<17,500, >=15,000","No","No",1968,"HTV","CF44 6RL","CF44",0,0,0,0,0,0,0,0,0,0,0,2,"Female","Wales",0,0,0,-9.11
3768,"Zero","65-70","Partner","Retired","Retired","Own Home","< 8,000, >= 4,000","No","No",1976,"Meridian","ME2 3SW","ME2",0,0,0,106.46,0,147.84,0,43.45,24.48,0,0,2,"Female","South East",21.29,35.96,53.71,132.96
6741,"Zero","55-60","Partner","Professional","Retired","Rent Privately","Unknown","No","No",1997,"Tyne Tees","NE48 2HX","NE48",0,0,11.99,49.49,0,0,0,0,0,0,1.49,2,"Female","North",12.3,0.25,8.25,22.19
7015,"1","26-30","Single/Never Married","Secretarial/Admin","Manual Worker","Rent from Council/HA","<17,500, >=15,000","No","No",1995,"Carlton","L17 0JB","L17",4.99,119.46,192.94,92.44,76.92,49.97,0,98.91,0,0,106.96,2,"Female","North West",97.35,42.64,53.04,156.59
11178,"Zero","65-70","Single/Never Married","Retired","Retired","Own Home",">=35,000","No","No",1998,"Tyne Tees","TS26 0HL","TS26",0,0,0,0,0,0,42.45,44.96,9.99,0,0,2,"Female","North",0,16.23,16.23,-5.74
3645,"Zero","55-60","Partner","Secretarial/Admin","Manual Worker","Own Home","<30,000, >=27,500","No","Yes",1960,"Yorkshire","LN4 1LR","LN4",39.96,174.44,18.98,281.86,0,317.26,0,138.4,34.48,20.64,55.95,2,"Female","East Midlands",103.05,94.46,128.67,329.29
387,"Zero","45-50","Partner","Professional","Retired","Own Home","Unknown","No","No",1978,"Central","WV9 5BA","WV9",9.99,22,0,13.49,26.48,11.99,0,39.97,0,13.96,0,2,"Female","West Midlands",14.39,10.99,15.32,60.78
5928,"2","41-45","Partner","Secretarial/Admin","Retired","Own Home","<27,500, >=25,000","No","No",1979,"Meridian","BN13 3LT","BN13",15.44,14.45,21.43,42.36,4.01,10.94,25.46,109.35,17,5.76,23.4,2,"Female","South East",19.54,31.99,34.85,135.89
2686,"2","36-40","Partner","Professional","Other","Own Home",">=35,000","No","No",1989,"Grampian","DD8 1JN","DD8",0,17.49,0,57.48,0,0,19.48,0,0,0,0,2,"Male","Scotland",14.99,3.25,12.83,35.87
4211,"Zero","45-50","Partner","Housewife","Secretarial/Admin","Own Home",">=35,000","No","No",1968,"Yorkshire","S18 1PL","S18",0,0,22.99,0,0,0,11.48,11.99,0,1.99,0,2,"Female","East Midlands",4.6,4.24,3.91,-24.04
639,"Zero","55-60","Partner","Retired","Retired","Own Home","<15,000, >=12,500","No","No",1972,"Meridian","L2 4HG","L2",6.99,0,0,102.94,0,79.43,466.12,61.47,8.49,25.71,3.49,2,"Male","North West",21.99,107.45,119.74,272.28
8291,"3","31-35","Partner","Manual Worker","Manual Worker","Own Home","<17,500, >=15,000","No","No",1996,"Meridian","M30 4YT","M30",0,0,0,0,0,1.99,0,51.46,0,0,0,2,"Female","North West",0,8.91,8.91,9.45
5439,"Zero","26-30","Divorced/Separated","Professional","Unknown","Own Home","<30,000, >=27,500","No","No",1991,"Central","ST7 2UD","ST7",0,129.43,0,91.43,14.47,39.41,152.99,63.44,1,5.99,19.48,2,"Male","West Midlands",47.07,47.05,60.46,93.46
5226,"Zero","45-50","Partner","Housewife","Retired","Rent Privately","< 8,000, >= 4,000","No","No",1968,"Central","TF11 8JZ","TF11",198.98,0,0,41.47,0,6.99,0,0,0,0,0,1,"Female","West Midlands",48.09,1.17,8.08,32.7
174,"Zero","65-70","Partner","Retired","Retired","Own Home","<10,000, >= 8,000","No","No",1987,"Meridian","M31 1BJ","M31",0,25.98,19.99,83.45,0,24.98,0,44.99,0,0,169.45,1,"Female","North West",25.88,39.9,25.57,122.2
8728,"Zero","71+","Partner","Retired","Retired","Own Home",">=35,000","No","No",1961,"Carlton","PR5 4SE","PR5",0,24.99,0,45.47,34.45,2.49,0,40.97,0,0,0,2,"Female","North West",20.98,7.24,20.56,88.64
11139,"Zero","51-55","Partner","Housewife","Manual Worker","Own Home","<20,000, >=17,500","No","Yes",1995,"Meridian","L26 5PA","L26",192.95,0,202.89,0,9.99,78.93,9.99,0,0,38.56,13.98,2,"Female","North West",81.17,23.58,16.49,75.43
998,"Zero","45-50","Partner","Secretarial/Admin","Other","Own Home","<22,500, >=20,000","No","No",1972,"Central","LE12 9NR","LE12",2.99,99.99,85.97,0,39.98,59.93,5.99,0,0,0,12.98,2,"Female","East Midlands",45.79,13.15,17.65,116.3
852,"Zero","61-65","Partner","Retired","Retired","Own Home","<20,000, >=17,500","No","No",1984,"Meridian","CT15 5JU","CT15",7.49,24.99,0,88.94,0,3.49,0,94.94,9.49,0,0,2,"Male","South East",24.28,17.99,32.81,78.24
3520,"1","45-50","Partner","Professional","Business Manager","Own Home",">=35,000","No","No",1994,"Grampian","IV15 9RW","IV15",0,14.47,0,0,9.99,2.49,19.98,4.99,24.48,0,16.98,2,"Male","Scotland",4.89,11.49,10.32,90.04
1379,"Zero","Unknown","Unknown","Retired","Retired","Unclassified","Unknown","No","No",0,"Carlton","KT12 5DT","KT12",0,0,0,0,9.99,0,0,0,0,18.44,0,2,"Male","South East",2,3.07,1.67,29.75
10006,"Zero","51-55","Partner","Secretarial/Admin","Retired","Own Home","< 4,000","No","No",1986,"Carlton","KT15 3JD","KT15",0,192.37,0,98.92,0,43.95,0,0,0,0,0,2,"Female","South East",58.26,7.33,23.81,79.04
5320,"Zero","55-60","Divorced/Separated","Professional","Unknown","Own Home","<30,000, >=27,500","No","No",1979,"Tyne Tees","NE30 3AX","NE30",0,0,0.01,0,0,34.48,5.99,49.48,7.48,0,74.44,1,"Female","North",0,28.65,16.24,32.47
10126,"Zero","51-55","Partner","Retired","Retired","Own Home","<10,000, >= 8,000","No","No",1964,"Yorkshire","HD8 0AJ","HD8",44.98,21.99,0,0,10.99,0,0,14.98,0,0,0,2,"Female","Unknown",15.59,2.5,4.33,35.25
8429,"Zero","61-65","Partner","Business Manager","Housewife","Own Home","<22,500, >=20,000","No","No",1983,"Carlton","HA2 7JQ","HA2",21.48,34.49,14.48,35.92,14.47,9.99,111.88,34.46,31.46,40.48,41.96,2,"Male","South East",24.17,45.04,39.7,136
9781,"Zero","55-60","Partner","Secretarial/Admin","Professional","Own Home","<30,000, >=27,500","No","No",1992,"Meridian","CT19 5TN","CT19",0,0,0,0,0,16.99,0,29.49,0,0,0,2,"Female","South East",0,7.75,7.75,-27.45
6501,"Zero","36-40","Partner","Retired","Retired","Own Home","<15,000, >=12,500","No","No",1921,"Granada","WA4 4QA","WA4",72.45,0.02,30.98,0,86.4,1.99,0,116.32,0,2.99,0,2,"Female","North West",37.97,20.22,34.12,78.16
831,"2","36-40","Widowed","Professional","Unknown","Own Home","<25,000, >=22,500","No","No",1993,"HTV","BS35 2YB","BS35",0,0,0,331.79,0,0,0,64.44,0,0,114.92,1,"Female","South West",66.36,29.89,66.04,147.43
8545,"1","45-50","Partner","Other","Other","Own Home","<27,500, >=25,000","No","No",1974,"Meridian","WA2 7RX","WA2",41.97,334.45,34.49,237.41,0,30,304.32,211.44,2.99,0,0,2,"Male","North West",129.66,91.46,131.03,374.42
10972,"Zero","71+","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1989,"Yorkshire","LS29 6JG","LS29",6.99,0,0,15.99,0,18.97,0,39.46,25.48,7.72,39.91,2,"Female","Unknown",4.6,21.92,16.65,-12.11
4695,"Zero","45-50","Partner","Professional","Professional","Own Home",">=35,000","No","No",1985,"Central","B46 1BB","B46",0,0,0,0,17.98,104.44,0,0,15.95,16.48,0,2,"Female","West Midlands",3.6,22.81,23.06,69.33
3976,"1","51-55","Partner","Secretarial/Admin","Manual Worker","Own Home","<27,500, >=25,000","No","No",1968,"Meridian","RH16 2NB","RH16",0,0,0,0,6.49,0,0,0,0,0,0,2,"Female","South East",1.3,0,1.08,-26.55
3462,"Zero","51-55","Partner","Secretarial/Admin","Retired","Rent from Council/HA","<17,500, >=15,000","No","No",1992,"Anglia","MK2 2JY","MK2",12.48,159.47,0,74.97,0,174.9,0,0,0,15.96,0,2,"Female","South East",49.38,31.81,41.65,169.5
6048,"Zero","71+","Widowed","Retired","Unknown","Own Home","<17,500, >=15,000","No","No",1948,"Carlton","TW19 5JA","TW19",0,168.97,0,49.47,19.49,0,0,39.98,0,0,8.98,2,"Female","South East",47.59,8.16,18.16,77.97
3852,"1","45-50","Partner","Secretarial/Admin","Secretarial/Admin","Own Home","<25,000, >=22,500","No","No",1962,"Carlton","HP13 7PU","HP13",204.95,0.01,457.85,215.88,136.88,99.95,291.26,59.45,0,0,87.53,2,"Female","South East",203.11,89.7,133.9,421.73
11308,"Zero","31-35","Single/Never Married","Professional","Unknown","Own Home",">=35,000","No","No",1989,"Carlton","L16 6JY","L16",0,0,0,29.98,0,0,19.98,0,0,0,0,2,"Male","North West",6,3.33,8.33,43.88
7634,"2","41-45","Partner","Professional","Professional","Own Home",">=35,000","No","No",1984,"Carlton","SL6 6JG","SL6",0,0.01,0,75.95,0,0,0,0,0,0,0,2,"Male","South East",15.19,0,12.66,31.75
7443,"Zero","55-60","Partner","Retired","Retired","Own Home","<22,500, >=20,000","No","No",1969,"Meridian","M2 8RE","M2",0,18,0,116.95,0,73.35,0,182.82,0,0,0,2,"Female","North West",26.99,42.7,62.19,135.89
5413,"Zero","31-35","Single/Never Married","Professional","Professional","Own Home","<30,000, >=27,500","No","No",1996,"Anglia","CB1 5PB","CB1",173.45,54.98,0,13.46,93.4,26.95,0,58.46,0,0,32.49,1,"Female","East Anglia",67.06,19.65,32.05,126.9
5372,"Zero","61-65","Partner","Other","Other","Own Home","<10,000, >= 8,000","No","No",1968,"Meridian","ME4 5LR","ME4",0,0,0,0,9.99,0,0,0,0,0,0,2,"Female","South East",2,0,1.67,-53.04
9666,"Zero","71+","Widowed","Retired","Unknown","Own Home","< 8,000, >= 4,000","No","No",1983,"Granada","CH4 0SA","CH4",0,14.99,0,150.92,0,0,0,54.47,0,0,0,2,"Female","North West",33.18,9.08,34.23,52.13
3013,"Zero","55-60","Partner","Retired","Retired","Own Home","<27,500, >=25,000","No","No",1981,"Carlton","SL8 5EE","SL8",0,260.93,0,87.97,10,23.98,12.48,70.93,19.48,0,0,2,"Female","South East",71.78,21.15,37.47,164.95
11468,"2","26-30","Divorced/Separated","Professional","Unknown","Own Home","<10,000, >= 8,000","No","No",1997,"Meridian","SO45 2JX","SO45",0,0,0,0,0,9.99,16.99,26.47,0,0,0,2,"Female","South East",0,8.91,8.91,67.29
4519,"3","31-35","Partner","Housewife","Unknown","Own Home","<30,000, >=27,500","No","Yes",1995,"Carlton","CR5 2EA","CR5",0,0,35.99,0,32.96,0,19.97,9.49,0,0,0,2,"Female","South East",13.79,4.91,10.4,25.43
82,"Zero","55-60","Partner","Retired","Retired","Own Home","<10,000, >= 8,000","No","No",1990,"Grampian","IV36 2SA","IV36",0,28,19.99,69.46,0,57.89,0,102.43,0,9.98,25.48,2,"Female","Scotland",23.49,32.63,38.3,70.35
6282,"3","26-30","Partner","Professional","Other","Own Home",">=35,000","No","No",1988,"Central","NG10 1NR","NG10",0,24.49,0,0,0,0,0,25.18,0,0,0,2,"Male","East Midlands",4.9,4.2,4.2,-33.71
2668,"Zero","61-65","Divorced/Separated","Unknown","Unknown","Own Home","< 4,000","No","No",1983,"Anglia","IP11 9BE","IP11",0,0,0,4.98,0,0,0,71.59,1.49,0,0,2,"Female","East Anglia",1,12.18,13.01,47.89
6129,"Zero","65-70","Widowed","Retired","Unknown","Own Home","<15,000, >=12,500","No","No",1995,"Tyne Tees","HG3 1PD","HG3",0,0,0,0,0,0,0,0,1,9.99,0,2,"Male","Unknown",0,1.83,0.17,25.93
11397,"Zero","36-40","Partner","Secretarial/Admin","Manual Worker","Own Home","<30,000, >=27,500","No","No",1994,"Granada","FY6 8AJ","FY6",0,115.97,0,109.96,0,111.45,0,39.97,0,0,0,2,"Female","North West",45.19,25.24,43.56,99.88
8796,"2","36-40","Partner","Housewife","Manual Worker","Own Home","<22,500, >=20,000","No","No",1990,"Central","NG15 8ES","NG15",15.99,168.41,0.01,60.47,24.46,44.97,0,72.44,9.48,0,35.77,2,"Female","East Midlands",53.87,27.11,35.3,139.13
279,"1","41-45","Partner","Professional","Professional","Own Home",">=35,000","No","No",1988,"Tyne Tees","NE38 8SF","NE38",0,2951.76,251.33,2930.41,21.96,197.9,4905.93,2561.27,9.48,0,0,2,"Male","North",1231.09,1279.1,1771.16,4283.56
7344,"1","36-40","Partner","Housewife","Manual Worker","Own Home","<12,500, >=10,000","No","Yes",1978,"Central","DY10 4NE","DY10",180.92,201.4,119.47,723.12,84.36,62.91,0,224.29,0,0,0,1,"Female","West Midlands",261.85,47.87,182.45,465.58
1001,"3","41-45","Partner","Secretarial/Admin","Manual Worker","Own Home","<27,500, >=25,000","No","Yes",1994,"Meridian","RG31 6YB","RG31",8.99,0,9.99,13.48,44.43,21.45,53.39,23.48,1.2,5.47,0,2,"Female","South East",15.38,17.5,26.24,35.72
7035,"Zero","45-50","Partner","Housewife","Professional","Own Home",">=35,000","No","No",1986,"TV South West","TR16 5SU","TR16",0,0,0,0,0,0,13.99,0,0,0,0,2,"Female","South West",0,2.33,2.33,30.49
3171,"Zero","51-55","Partner","Professional","Housewife","Own Home","<30,000, >=27,500","Yes","No",1969,"Central","DE13 0BS","DE13",0,19.49,34.99,117.94,0,13.97,98.42,41.96,2.99,23.47,3.99,2,"Male","West Midlands",34.48,30.8,45.88,125.61
7939,"Zero","61-65","Widowed","Retired","Unknown","Rent from Council/HA","< 4,000","No","No",1986,"Meridian","RG7 4LU","RG7",56.95,356.84,45.96,656.69,149.38,208.82,0,130.39,59.99,12.48,132.42,1,"Female","South East",253.16,90.68,200.88,537.68
9057,"2","31-35","Partner","Student","Professional","Own Home","<27,500, >=25,000","No","No",1988,"Tyne Tees","NE61 2TR","NE61",0,0,57.48,24,24.98,29.48,46.42,5,0,0,0,2,"Female","North",21.29,13.48,21.65,41.52
11126,"Zero","55-60","Partner","Retired","Retired","Own Home","<27,500, >=25,000","No","No",1996,"Granada","CH2 1PE","CH2",0,0,0,78.46,0,0,0,14.99,0,0,0,2,"Male","North West",15.69,2.5,15.58,96.6
9833,"Zero","26-30","Partner","Professional","Professional","Own Home",">=35,000","No","No",1999,"HTV","CF45 4PP","CF45",0,214.93,0,111.34,0,60.94,37.48,82.88,0,5.99,52.97,2,"Female","Wales",65.25,40.04,48.77,160.12
2247,"Zero","61-65","Widowed","Retired","Unknown","Rent from Council/HA","< 8,000, >= 4,000","No","No",1972,"HTV","BA22 9TN","BA22",19.99,0,34.99,0,9.99,0,0,0,0,0,0,2,"Female","South West",12.99,0,1.67,78.42
2639,"Zero","55-60","Widowed","Retired","Unknown","Own Home","<20,000, >=17,500","No","No",1991,"Tyne Tees","TS8 0UF","TS8",68.49,0,0,0,12.48,0,0,0,0,0,0,2,"Female","North",16.19,0,2.08,50.64
2722,"Zero","71+","Divorced/Separated","Unknown","Unknown","Rent from Council/HA","< 8,000, >= 4,000","No","No",1982,"Carlton","SW1V 4NT","SW1V",0,194.95,79.48,249.27,5.98,51.97,0,26.97,1,11.48,0,1,"Male","South East",105.94,15.24,55.87,166.16
7221,"2","36-40","Partner","Secretarial/Admin","Secretarial/Admin","Own Home","<27,500, >=25,000","No","No",1990,"Granada","M43 7ER","M43",24.98,0.01,14.99,88.96,9.99,58.46,0,74.95,18.48,0,14.99,2,"Female","North West",27.79,27.81,41.81,112.73
9289,"Zero","61-65","Divorced/Separated","Housewife","Unknown","Own Home","< 8,000, >= 4,000","No","No",1923,"Central","GL7 1RU","GL7",4.99,129.95,95.46,726.67,139.41,626.24,80.95,315.63,29.92,7.97,237.9,2,"Female","South West",219.3,216.44,319.8,718.73
